Date,Price_MSFT,Price_AMZN,Price_AAPL,Price_FB,MSFT_size,AMZN_size,AAPL_size,FB_size,total_value,periodic_reinvestment,reinvestment_due_to_loss,MSFT_change,AMZN_change,AAPL_change,FB_change,total_value_percentage,Drawdown
2019-12-16,152.305419921875,1769.2099609375,68.85322570800781,197.9199981689453,6822.988573457056,6515.024685642024,6950.575765569724,6502.17281281685,26790.76,0.0,0.0,0.0,0.0,0.0,0.0,167.91,0.0
2019-12-17,151.48281860351562,1790.6600341796875,68.98854064941406,198.38999938964844,6786.137623579135,6594.013477117984,6964.235499631369,6517.613542341503,26862.0,0.0,0.0,0.0,0.0,0.0,0.0,168.62,0.0
2019-12-18,151.16943359375,1784.030029296875,68.8237075805664,202.5,6772.098580570551,6569.598825137072,6947.595978070598,6652.637463504219,26941.93,0.0,0.0,0.0,0.0,0.0,0.0,169.42,0.0
2019-12-19,152.48170471191406,1792.280029296875,68.892578125,206.05999755859375,6830.885791485986,6599.979025816061,6954.548302121932,6769.592392532783,27155.01,0.0,0.0,0.0,0.0,0.0,0.0,171.55,0.0
2019-12-20,154.14642333984375,1786.5,68.74989318847656,206.3000030517578,6905.461969945109,6578.694365213698,6940.144583897932,6777.4771803612775,27201.78,0.0,0.0,0.0,0.0,0.0,0.0,172.02,0.0
2019-12-23,154.14642333984375,1793.0,69.87178802490234,206.17999267578125,6905.461969945109,6602.630280900174,7053.397303453116,6773.534535802112,27335.02,0.0,0.0,0.0,0.0,0.0,0.0,173.35,0.0
2019-12-24,154.11705017089844,1789.2099609375,69.9382095336914,205.1199951171875,6904.1461087224225,6588.673656985027,7060.102402953606,6738.710933483477,27291.63,0.0,0.0,0.0,0.0,0.0,0.0,172.92,-0.15873769788150582
2019-12-26,155.3802947998047,1868.77001953125,71.3258056640625,207.7899932861328,6960.737027633447,6881.649480755962,7200.177060850628,6826.4271302549005,27868.99,0.0,0.0,0.0,0.0,0.0,0.0,178.69,0.0
2019-12-27,155.664306640625,1869.800048828125,71.29873657226562,208.10000610351562,6973.460209419345,6885.442510664362,7197.4444979023465,6836.611835850394,27892.96,0.0,0.0,0.0,0.0,0.0,0.0,178.93,0.0
2019-12-30,154.32269287109375,1846.8900146484375,71.7219009399414,204.41000366210938,6913.358504409767,6801.077488126011,7240.161973642598,6715.385917420165,27669.98,0.0,0.0,0.0,0.0,0.0,0.0,176.7,-0.7993958970345938
2019-12-31,154.43040466308594,1847.8399658203125,72.24594116210938,205.25,6918.183784602464,6804.575634457745,7293.062636333858,6742.98192288514,27758.8,0.0,0.0,0.0,0.0,0.0,0.0,177.59,-0.4809639425430223
2020-01-02,157.2898712158203,1898.010009765625,73.89433288574219,209.77999877929688,7171.718615734297,7171.718615734297,7171.718615734297,7171.718615734297,28686.87,300.0,0.0,125.44,182.39,-287.75,279.91,186.87,0.0
